date,retail_gas_price,regular_gas_price,premium_gas_price,europe_brent,wti,oil_supply,crude_oil_production
1983/06,1.261,,,,,13611.0,6979.9
1983/07,1.272,,,,,-3186.0,6920.677
1983/08,1.269,,,,,10530.0,6981.871
1983/09,1.257,,,,,1292.0,7046.8
1983/10,1.239,,,,,3529.0,7037.806
1983/11,1.224,,,,,2846.0,7050.3
1983/12,1.215,,,,,5158.0,6685.161
1984/01,1.2,,,,,7804.0,7116.032
1984/02,1.193,,,,,12912.0,7125.793
1984/03,1.194,,,,,5014.0,7101.871
1984/04,1.211,,,,,11334.0,7092.5
1984/05,1.221,,,,,11359.0,7191.258
1984/06,1.214,,,,,8755.0,7193.3
1984/07,1.197,,,,,-2858.0,7190.194
1984/08,1.184,,,,,10202.0,7087.032
1984/09,1.189,,,,,-1530.0,7232.633
1984/10,1.195,,,,,10778.0,7174.129
1984/11,1.193,,,,,2476.0,7197.9
1984/12,1.179,,,,,9206.0,7176.806
1985/01,1.145,,,,,5576.0,7092.484
1985/02,1.128,,,,,4185.0,7147.571
1985/03,1.155,,,,,3856.0,7228.516
1985/04,1.199,,,,,7361.0,7259.633
1985/05,1.223,,,,,9473.0,7243.903
1985/06,1.233,,,,,4727.0,7151.167
1985/07,1.233,,,,,7015.0,7139.71
1985/08,1.222,,,,,11505.0,7007.71
1985/09,1.209,,,,,4915.0,7086.733
1985/10,1.198,,,,,4759.0,7120.323
1985/11,1.201,,,,,7297.0,7097.933
1985/12,1.203,,,,,7598.0,7177.806
1986/01,1.19,,,,22.93,13408.0,7266.935
1986/02,1.119,,,,15.46,2301.0,7266.179
1986/03,0.983,,,,12.61,9607.0,7152.903
1986/04,0.895,,,,12.84,3690.0,7027.5
1986/05,0.927,,,,15.38,4450.0,6910.194
1986/06,0.958,,,,13.43,10700.0,6736.767
1986/07,0.895,,,,11.59,7786.0,6757.032
1986/08,0.848,,,,15.1,4785.0,6562.387
1986/09,0.864,,,,14.87,6618.0,6546.467
1986/10,0.837,,,,14.9,8849.0,6491.484
1986/11,0.827,,,,15.22,-1594.0,6529.7
1986/12,0.83,,,,16.11,2918.0,6545.387
1987/01,0.868,,,,18.65,2349.0,6460.968
1987/02,0.911,,,,17.75,12662.0,6535.75
1987/03,0.918,,,,18.3,6956.0,6496.484
1987/04,0.94,,,,18.68,5280.0,6507.933
1987/05,0.948,,,18.58,19.44,3445.0,6357.065
1987/06,0.966,,,18.86,20.07,14623.0,6348.567
1987/07,0.98,,,19.86,21.34,3041.0,6341.29
1987/08,1.004,,,18.98,20.31,7520.0,6302.097
1987/09,1.0,,,18.31,19.53,8551.0,6331.033
1987/10,0.988,,,18.76,19.86,2233.0,6377.71
1987/11,0.987,,,17.78,18.85,5903.0,6329.1
1987/12,0.975,,,17.05,17.28,5217.0,6274.806
1988/01,0.947,,,16.75,17.13,8284.0,6250.71
1988/02,0.928,,,15.73,16.8,-201.0,6304.414
1988/03,0.92,,,14.73,16.2,9983.0,6287.71
1988/04,0.946,,,16.6,17.86,2147.0,6258.4
1988/05,0.97,,,16.31,17.42,5351.0,6212.806
1988/06,0.971,,,15.54,16.53,7783.0,6185.967
1988/07,0.984,,,14.91,15.5,15203.0,6079.516
1988/08,1.004,,,14.89,15.52,10781.0,6070.677
1988/09,0.992,,,13.18,14.54,8717.0,5875.433
1988/10,0.976,,,12.41,13.77,6727.0,6012.548
1988/11,0.972,,,13.02,14.14,9693.0,5996.667
1988/12,0.953,,,15.31,16.38,8214.0,5946.032
1989/01,0.944,,,17.17,18.02,5293.0,5979.472
1989/02,0.955,,,16.89,17.94,563.0,5826.343
1989/03,0.974,,,18.7,19.48,15053.0,5888.927
1989/04,1.098,,,20.32,21.07,4379.0,5881.556
1989/05,1.152,,,18.63,20.12,10584.0,5842.872
1989/06,1.15,,,17.67,20.05,5746.0,5763.419
1989/07,1.132,,,17.62,19.78,15352.0,5718.77
1989/08,1.096,,,16.77,18.58,8384.0,5674.68
1989/09,1.073,,,17.77,19.59,5670.0,5672.53
1989/10,1.071,,,18.91,20.1,-2241.0,5575.427
1989/11,1.046,,,18.73,19.86,13867.0,5621.098
1989/12,1.03,,,19.84,21.1,12325.0,5432.66
1990/01,1.09,,,21.25,22.86,8339.0,5682.11
1990/02,1.086,,,19.81,22.11,-537.0,5663.312
1990/03,1.076,,,18.39,20.39,19017.0,5614.607
1990/04,1.096,,,16.61,18.43,2105.0,5604.859
1990/05,1.114,,,16.35,18.2,9836.0,5563.014
1990/06,1.14,,,15.1,16.7,12909.0,5493.419
1990/07,1.139,,,17.17,18.45,7057.0,5486.608
1990/08,1.246,,,27.17,27.31,10182.0,5559.588
1990/09,1.347,1.258,,34.9,33.51,14157.0,5522.274
1990/10,1.431,1.335,,36.02,36.04,14695.0,5657.498
1990/11,1.432,1.324,,33.07,32.33,10391.0,5640.818
1990/12,1.41,,,28.27,27.28,15095.0,5499.892
1991/01,1.304,,,23.57,25.23,1555.0,5652.093
1991/02,1.198,1.094,,19.54,20.48,11650.0,5729.49
1991/03,1.138,1.04,,19.08,19.9,3553.0,5659.038
1991/04,1.159,1.076,,19.18,20.83,9758.0,5710.77
1991/05,1.209,1.126,,19.19,21.23,18741.0,5638.065
1991/06,1.214,1.128,,18.17,20.19,4308.0,5563.649
1991/07,1.185,1.096,,19.4,21.4,15182.0,5571.503
1991/08,1.196,1.115,,19.77,21.69,2941.0,5585.279
1991/09,1.199,1.109,,20.5,21.89,17439.0,5580.817
1991/10,1.18,1.088,,22.21,23.23,914.0,5594.835
1991/11,1.193,1.099,,21.11,22.46,11031.0,5562.724
1991/12,1.182,1.076,,18.41,19.5,7735.0,5580.663
1992/01,1.135,1.022,,18.16,18.79,12907.0,5571.651
1992/02,1.117,1.006,,18.05,19.01,9264.0,5580.743
1992/03,1.122,1.013,,17.63,18.92,11377.0,5563.023
1992/04,1.143,1.052,,18.92,20.23,8289.0,5551.41
1992/05,1.197,1.107,,19.89,20.98,15713.0,5486.271
1992/06,1.239,1.145,,21.16,22.39,10743.0,5464.162
1992/07,1.238,1.137,,20.24,21.78,14850.0,5476.543
1992/08,1.221,1.122,,19.74,21.34,5665.0,5286.93
1992/09,1.222,1.122,,20.27,21.88,16132.0,5329.752
1992/10,1.219,1.114,,20.26,21.69,14494.0,5429.741
1992/11,1.223,1.111,,19.21,20.34,14795.0,5350.349
1992/12,1.201,1.078,,18.14,19.41,7188.0,5398.672
1993/01,1.182,1.062,,17.39,19.03,20880.0,5306.7
1993/02,1.172,1.054,,18.47,20.09,9802.0,5314.55
1993/03,1.163,1.052,,18.79,20.32,9911.0,5335.018
1993/04,1.175,1.078,,18.67,20.25,16392.0,5294.319
1993/05,1.193,1.1,,18.51,19.95,20565.0,5278.972
1993/06,1.194,1.097,,17.65,19.09,14735.0,5274.431
1993/07,1.174,1.078,,16.78,17.89,14358.0,5246.983
1993/08,1.163,1.062,,16.7,18.01,6770.0,5229.914
1993/09,1.151,1.05,,16.01,17.5,12971.0,5240.792
1993/10,1.193,1.092,,16.61,18.15,12254.0,5228.32
1993/11,1.178,1.066,,15.2,16.61,11157.0,5241.54
1993/12,1.136,1.014,,13.73,14.52,4122.0,5186.971
1994/01,1.109,0.998,,14.29,15.03,30888.0,5158.784
1994/02,1.114,1.009,,13.8,14.78,7969.0,5173.249
1994/03,1.109,1.008,,13.82,14.68,15620.0,5162.54
1994/04,1.128,1.027,,15.23,16.42,16066.0,5107.783
1994/05,1.143,1.047,,16.19,17.89,14745.0,5110.266
1994/06,1.167,1.078,,16.76,19.06,19059.0,5093.847
1994/07,1.199,1.106,,17.6,19.66,16211.0,5006.149
1994/08,1.243,1.155,,16.89,18.38,19542.0,5044.561
1994/09,1.237,1.144,,15.9,17.45,9721.0,5094.637
1994/10,1.212,1.114,,16.49,17.72,12795.0,5054.474
1994/11,1.222,1.116,,17.19,18.07,24929.0,5110.424
1994/12,1.203,1.091,1.285,15.93,17.16,3429.0,5123.771
1995/01,1.19,1.082,1.275,16.55,18.04,19008.0,5107.387
1995/02,1.181,1.073,1.265,17.11,18.57,12266.0,5216.668
1995/03,1.173,1.072,1.258,17.01,18.54,4377.0,5075.816
1995/04,1.197,1.111,1.295,18.65,19.9,16790.0,5092.582
1995/05,1.256,1.178,1.364,18.35,19.74,18790.0,5111.542
1995/06,1.281,1.192,1.379,17.31,18.45,8845.0,5094.974
1995/07,1.252,1.154,1.342,15.85,17.33,21749.0,5047.349
1995/08,1.222,1.123,1.311,16.1,18.02,16386.0,5014.687
1995/09,1.206,1.111,1.298,16.7,18.23,8695.0,5038.706
1995/10,1.185,1.087,1.273,16.11,17.43,20205.0,4946.063
1995/11,1.161,1.062,1.247,16.86,17.99,18430.0,5113.482
1995/12,1.16,1.071,1.255,17.93,19.03,15645.0,5063.464
1996/01,1.186,1.09,1.276,17.85,18.86,11570.0,5051.203
1996/02,1.181,1.089,1.274,18.0,19.09,20709.0,5094.457
1996/03,1.219,1.137,1.32,19.85,21.33,9527.0,5117.071
1996/04,1.305,1.231,1.411,20.9,23.5,29197.0,5076.762
1996/05,1.378,1.279,1.462,19.15,21.17,11246.0,5052.718
1996/06,1.354,1.256,1.437,18.46,20.42,25577.0,5038.857
1996/07,1.328,1.227,1.409,19.57,21.3,13642.0,5020.97
1996/08,1.298,1.207,1.386,20.51,21.9,11485.0,5033.434
1996/09,1.293,1.202,1.38,22.63,23.97,17168.0,5081.21
1996/10,1.287,1.204,1.384,24.16,24.88,22073.0,5101.617
1996/11,1.308,1.232,1.413,22.76,23.71,14629.0,5072.138
1996/12,1.318,1.235,1.418,23.78,25.23,6292.0,5113.61
1997/01,1.318,1.236,1.419,23.54,25.13,20556.0,5022.543
1997/02,1.312,1.23,1.413,20.85,22.18,-672.0,5130.513
1997/03,1.293,1.205,1.389,19.13,20.97,25407.0,5121.008
1997/04,1.288,1.199,1.381,17.56,19.7,15177.0,5110.809
1997/05,1.284,1.2,1.378,19.02,20.82,18385.0,5170.911
1997/06,1.286,1.198,1.373,17.58,19.26,5163.0,5181.878
1997/07,1.263,1.174,1.354,18.46,19.66,15912.0,5171.46
1997/08,1.31,1.224,1.401,18.6,19.95,15074.0,5147.213
1997/09,1.334,1.231,1.411,18.46,19.8,16434.0,5209.709
1997/10,1.3,1.197,1.379,19.87,21.33,10805.0,5181.047
1997/11,1.271,1.171,1.354,19.17,20.19,16243.0,5181.29
1997/12,1.236,1.131,1.316,17.18,18.33,19385.0,5241.205
1998/01,1.186,1.086,1.273,15.19,16.72,15354.0,5311.591
1998/02,1.137,1.049,1.237,14.07,16.06,3760.0,5237.862
1998/03,1.097,1.017,1.203,13.1,15.12,33290.0,5186.84
1998/04,1.106,1.03,1.216,13.53,15.35,20065.0,5282.45
1998/05,1.146,1.064,1.244,14.36,14.91,14519.0,5173.518
1998/06,1.148,1.064,1.241,12.21,13.72,9306.0,5132.399
1998/07,1.134,1.055,1.234,12.08,14.17,16063.0,5038.929
1998/08,1.108,1.026,1.207,11.91,13.47,14647.0,5070.125
1998/09,1.091,1.009,1.193,13.34,15.03,9852.0,4696.012
1998/10,1.099,1.019,1.204,12.7,14.46,9882.0,4945.824
1998/11,1.086,0.995,1.183,11.04,13.0,13790.0,4972.029
1998/12,1.046,0.945,1.137,9.82,11.35,20190.0,4883.578
1999/01,1.031,0.939,1.128,11.11,12.52,27003.0,4799.034
1999/02,1.014,0.921,1.112,10.27,12.01,11909.0,4861.761
1999/03,1.048,0.982,1.166,12.51,14.68,21436.0,4748.818
1999/04,1.232,1.131,1.31,15.29,17.31,9112.0,4831.576
1999/05,1.233,1.131,1.314,15.23,17.72,21575.0,4787.212
1999/06,1.204,1.114,1.297,15.86,17.92,16813.0,4792.892
1999/07,1.244,1.158,1.337,19.08,20.1,15958.0,4808.139
1999/08,1.309,1.221,1.401,20.22,21.28,18351.0,4769.348
1999/09,1.334,1.256,1.437,22.54,23.8,25262.0,4870.404
1999/10,1.329,1.244,1.431,22.0,22.69,11890.0,4879.092
1999/11,1.319,1.251,1.436,24.58,25.0,20139.0,4936.904
1999/12,1.353,1.273,1.458,25.47,26.1,7679.0,4900.308
2000/01,1.356,1.289,1.471,25.51,27.26,22262.0,4760.15
2000/02,1.422,1.377,1.552,27.78,29.37,10826.0,4820.598
2000/03,1.594,1.516,1.696,27.49,29.84,23643.0,4905.465
2000/04,1.561,1.465,1.651,22.76,25.72,18487.0,4846.133
2000/05,1.552,1.487,1.667,27.74,28.79,22014.0,4880.897
2000/06,1.666,1.633,1.789,29.8,31.82,15100.0,4897.615
2000/07,1.642,1.551,1.735,28.68,29.7,27006.0,4826.846
2000/08,1.559,1.465,1.653,30.2,31.26,15016.0,4874.444
2000/09,1.635,1.55,1.725,33.14,33.88,6807.0,4865.462
2000/10,1.613,1.532,1.71,30.96,33.11,15278.0,4843.385
2000/11,1.608,1.517,1.697,32.55,34.42,11385.0,4847.136
2000/12,1.544,1.443,1.628,25.66,28.44,6995.0,4844.943
2001/01,1.525,1.447,1.63,25.62,29.59,22415.0,4818.796
2001/02,1.538,1.45,1.635,27.5,29.61,11302.0,4802.703
2001/03,1.503,1.409,1.596,24.5,27.25,14807.0,4871.572
2001/04,1.617,1.552,1.732,25.66,27.49,20193.0,4876.166
2001/05,1.812,1.702,1.869,28.31,28.63,14695.0,4872.362
2001/06,1.731,1.616,1.801,27.85,27.6,15344.0,4830.858
2001/07,1.565,1.421,1.622,24.61,26.43,20511.0,4822.02
2001/08,1.509,1.421,1.601,25.68,27.37,12409.0,4797.418
2001/09,1.609,1.522,1.682,25.62,26.2,12892.0,4817.358
2001/10,1.442,1.315,1.499,20.54,22.17,18329.0,4851.466
2001/11,1.324,1.171,1.357,18.8,19.64,7071.0,4858.509
2001/12,1.2,1.086,1.271,18.71,19.39,12853.0,4841.784
2002/01,1.209,1.107,1.292,19.42,19.72,22253.0,4837.917
2002/02,1.21,1.114,1.297,20.28,20.72,13266.0,4850.064
2002/03,1.324,1.249,1.427,23.7,24.53,13964.0,4850.035
2002/04,1.493,1.397,1.582,25.73,26.18,14976.0,4835.526
2002/05,1.508,1.392,1.58,25.35,27.04,23532.0,4902.96
2002/06,1.489,1.382,1.567,24.08,25.52,14163.0,4865.473
2002/07,1.496,1.397,1.58,25.74,26.97,17714.0,4819.424
2002/08,1.508,1.396,1.583,26.65,28.39,10022.0,4831.117
2002/09,1.507,1.4,1.586,28.4,29.66,12350.0,4525.425
2002/10,1.535,1.445,1.629,27.54,28.84,17777.0,4375.088
2002/11,1.534,1.419,1.607,24.34,26.35,13330.0,4715.613
2002/12,1.477,1.386,1.58,28.33,29.46,19606.0,4710.681
2003/01,1.557,1.458,1.65,31.18,32.95,8518.0,4771.19
2003/02,1.686,1.613,1.798,32.77,35.83,12165.0,4767.86
2003/03,1.791,1.693,1.875,30.61,33.51,20758.0,4781.458
2003/04,1.704,1.589,1.78,25.0,28.17,19217.0,4754.928
2003/05,1.587,1.497,1.686,25.86,28.11,16350.0,4673.014
2003/06,1.558,1.493,1.674,27.65,30.66,15814.0,4667.945
2003/07,1.567,1.513,1.697,28.35,30.76,18476.0,4571.855
2003/08,1.671,1.62,1.799,29.89,31.57,16331.0,4628.79
2003/09,1.771,1.679,1.865,27.11,28.31,15169.0,4645.243
2003/10,1.646,1.564,1.753,29.61,30.34,16951.0,4646.399
2003/11,1.578,1.512,1.702,28.75,31.11,17834.0,4583.428
2003/12,1.538,1.479,1.673,29.81,32.13,8200.0,4615.862
2004/01,1.635,1.572,1.763,31.28,34.31,13040.0,4609.055
2004/02,1.715,1.648,1.837,30.86,34.69,25407.0,4638.326
2004/03,1.809,1.736,1.923,33.63,36.74,3774.0,4637.661
2004/04,1.875,1.798,1.979,33.59,36.75,21595.0,4610.381
2004/05,2.05,1.983,2.159,37.57,40.28,17456.0,4614.285
2004/06,2.083,1.969,2.162,35.18,38.03,24985.0,4488.088
2004/07,1.982,1.911,2.104,38.22,40.78,17662.0,4673.593
2004/08,1.941,1.878,2.067,42.74,44.9,13038.0,4624.239
2004/09,1.934,1.87,2.059,43.2,45.94,15703.0,4212.136
2004/10,2.072,2.0,2.187,49.78,53.28,9637.0,4235.249
2004/11,2.053,1.979,2.175,43.11,48.47,18450.0,4476.389
2004/12,1.926,1.841,2.046,39.6,43.15,17643.0,4568.247
2005/01,1.866,1.831,2.029,44.51,46.84,13825.0,4528.03
2005/02,1.96,1.91,2.101,45.48,48.15,13880.0,4584.44
2005/03,2.107,2.079,2.263,53.1,54.19,18889.0,4680.285
2005/04,2.325,2.243,2.429,51.88,52.98,27421.0,4669.387
2005/05,2.257,2.161,2.357,48.65,49.83,12114.0,4703.518
2005/06,2.218,2.156,2.347,54.35,56.35,14675.0,4610.838
2005/07,2.357,2.29,2.483,57.52,59.0,14400.0,4474.865
2005/08,2.548,2.486,2.679,63.98,64.99,10114.0,4362.853
2005/09,2.969,2.903,3.121,62.91,65.59,21149.0,3398.739
2005/10,2.83,2.717,2.934,58.54,62.26,10188.0,3693.083
2005/11,2.387,2.257,2.465,55.24,58.32,12425.0,3985.066
2005/12,2.23,2.185,2.383,56.86,59.41,16569.0,4151.66
2006/01,2.359,2.316,2.522,62.99,65.49,13980.0,4216.138
2006/02,2.354,2.28,2.485,60.21,61.63,21741.0,4211.241
2006/03,2.444,2.425,2.618,62.06,62.69,10214.0,4274.838
2006/04,2.801,2.742,2.944,70.26,69.44,21222.0,4281.422
2006/05,2.993,2.907,3.113,69.78,70.84,10928.0,4349.351
2006/06,2.963,2.885,3.088,68.56,70.95,10652.0,4381.847
2006/07,3.046,2.981,3.181,73.67,74.41,23242.0,4413.154
2006/08,3.033,2.952,3.163,73.23,73.04,24256.0,4418.94
2006/09,2.637,2.555,2.783,61.96,63.8,15968.0,4375.841
2006/10,2.319,2.245,2.458,57.81,58.89,17413.0,4394.216
2006/11,2.287,2.229,2.436,58.76,59.08,12867.0,4409.24
2006/12,2.38,2.313,2.52,62.47,61.96,13597.0,4400.926
2007/01,2.321,2.24,2.459,53.68,54.51,18880.0,4335.756
2007/02,2.333,2.278,2.479,57.56,59.28,17639.0,4364.754
2007/03,2.639,2.563,2.766,62.05,60.44,11807.0,4372.893
2007/04,2.909,2.845,3.052,67.49,63.98,21458.0,4435.417
2007/05,3.176,3.146,3.331,67.21,63.46,27243.0,4445.91
2007/06,3.1,3.056,3.263,71.05,67.49,25122.0,4360.829
2007/07,3.013,2.965,3.172,76.93,74.12,23989.0,4321.841
2007/08,2.833,2.786,3.004,70.76,72.36,17269.0,4325.893
2007/09,2.839,2.803,3.011,77.17,79.92,14166.0,4262.748
2007/10,2.843,2.803,3.028,82.34,85.8,21237.0,4323.794
2007/11,3.118,3.08,3.297,92.41,94.77,17455.0,4294.416
2007/12,3.069,3.018,3.252,90.93,91.69,17383.0,4375.944
2008/01,3.096,3.043,3.277,92.18,92.97,21410.0,4404.493
2008/02,3.083,3.028,3.256,94.99,95.39,23456.0,4442.003
2008/03,3.307,3.244,3.465,103.64,105.45,23789.0,4462.924
2008/04,3.491,3.458,3.679,109.07,112.58,18200.0,4479.001
2008/05,3.813,3.766,3.991,122.8,125.4,26090.0,4457.975
2008/06,4.115,4.054,4.284,132.32,133.88,25041.0,4482.595
2008/07,4.142,4.062,4.298,132.72,133.37,25078.0,4537.158
2008/08,3.838,3.779,4.022,113.24,116.67,23115.0,4458.509
2008/09,3.749,3.703,3.944,97.23,104.11,31169.0,3292.526
2008/10,3.225,3.051,3.321,71.58,76.61,26851.0,4021.814
2008/11,2.208,2.147,2.418,52.45,57.31,23129.0,4349.907
2008/12,1.742,1.687,1.946,39.95,41.12,26733.0,4400.595
2009/01,1.838,1.788,2.021,43.44,41.71,8699.0,4465.422
2009/02,1.979,1.923,2.16,43.32,39.09,6879.0,4531.377
2009/03,2.0,1.959,2.194,46.54,47.94,7339.0,4509.49
2009/04,2.107,2.049,2.284,50.18,49.65,6561.0,4625.555
2009/05,2.314,2.266,2.494,57.3,59.03,7130.0,4699.242
2009/06,2.681,2.631,2.857,68.61,69.64,9581.0,4698.589
2009/07,2.594,2.527,2.773,64.44,64.15,8262.0,4846.696
2009/08,2.677,2.616,2.856,72.51,71.05,7548.0,4845.547
2009/09,2.626,2.554,2.796,67.65,69.41,3459.0,4906.751
2009/10,2.613,2.551,2.789,72.77,75.72,4599.0,4865.755
2009/11,2.709,2.651,2.895,76.66,77.99,4085.0,4732.432
2009/12,2.671,2.607,2.856,74.46,74.47,6445.0,4797.065
2010/01,2.779,2.715,2.957,76.17,78.33,7506.0,4763.853
2010/02,2.709,2.644,2.893,73.75,76.39,2034.0,4918.342
2010/03,2.829,2.772,3.008,78.83,81.2,4797.0,4869.224
2010/04,2.906,2.848,3.08,84.82,84.29,10773.0,4752.634
2010/05,2.915,2.836,3.079,75.95,73.74,10250.0,4829.588
2010/06,2.783,2.732,2.973,74.76,75.34,10777.0,4845.032
2010/07,2.783,2.729,2.965,75.58,76.32,9040.0,4753.175
2010/08,2.795,2.73,2.968,77.04,76.6,11675.0,4909.08
2010/09,2.754,2.705,2.938,77.84,75.24,7325.0,5001.985
2010/10,2.843,2.801,3.037,82.67,81.89,4974.0,5012.084
2010/11,2.899,2.859,3.103,85.28,84.25,2204.0,4969.539
2010/12,3.031,2.993,3.24,91.45,89.15,8550.0,4995.649
2011/01,3.139,3.095,3.338,96.52,89.17,11222.0,5030.796
2011/02,3.215,3.211,3.45,103.72,88.58,11087.0,4792.338
2011/03,3.594,3.561,3.802,114.64,102.86,7348.0,5004.484
2011/04,3.863,3.8,4.036,123.26,109.53,7647.0,4951.586
2011/05,3.982,3.906,4.15,114.99,100.9,9100.0,5040.87
2011/06,3.753,3.68,3.929,113.83,96.26,7841.0,5034.543
2011/07,3.703,3.65,3.9,116.97,97.3,16505.0,4987.481
2011/08,3.68,3.639,3.894,110.22,86.33,15414.0,5138.457
2011/09,3.664,3.611,3.86,112.83,85.52,11562.0,5029.634
2011/10,3.521,3.448,3.708,109.55,86.32,6302.0,5335.307
2011/11,3.475,3.384,3.649,110.77,97.16,13175.0,5442.121
2011/12,3.329,3.266,3.536,107.87,98.56,3967.0,5455.795
2012/01,3.447,3.38,3.651,110.69,100.27,7980.0,5578.651
2012/02,3.622,3.579,3.851,119.33,102.2,6476.0,5684.366
2012/03,3.918,3.852,4.101,125.45,106.16,12933.0,5758.657
2012/04,3.976,3.9,4.162,119.75,103.32,4971.0,5771.826
2012/05,3.839,3.732,3.995,110.34,94.66,7134.0,5822.155
2012/06,3.602,3.539,3.793,95.16,82.3,10857.0,5776.404
2012/07,3.502,3.439,3.705,102.62,87.9,9303.0,6009.186
2012/08,3.759,3.722,3.989,113.36,94.13,7296.0,5944.612
2012/09,3.908,3.849,4.124,112.86,94.51,12394.0,6093.722
2012/10,3.839,3.746,4.041,111.71,89.49,6932.0,6419.33
2012/11,3.542,3.452,3.764,109.06,86.53,5894.0,6523.482
2012/12,3.386,3.31,3.627,109.49,87.86,13471.0,6542.362
2013/01,3.407,3.319,3.644,112.96,94.76,6599.0,6533.973
2013/02,3.748,3.67,3.969,116.05,95.31,10524.0,6610.339
