date,retail_gas_price,regular_gas_price,premium_gas_price,europe_brent,wti,oil_supply,crude_oil_production
1973/01,,,,,,,8981.323
1973/02,,,,,,,9178.75
1973/03,,,,,,,9098.194
1973/04,,,,,,,9095.2
1973/05,,,,,,,9062.548
1973/06,,,,,,,9016.033
1973/07,,,,,,,9015.581
1973/08,,,,,,,8961.29
1973/09,,,,,,,8864.7
1973/10,,,,,,,9023.452
1973/11,,,,,,,8966.167
1973/12,,,,,,,8867.677
1974/01,,,,,,,8742.516
1974/02,,,,,,,8952.107
1974/03,,,,,,,8781.968
1974/04,,,,,,,8773.9
1974/05,,,,,,,8719.452
1974/06,,,,,,,8578.633
1974/07,,,,,,,8577.774
1974/08,,,,,,,8498.774
1974/09,,,,,,,8246.467
1974/10,,,,,,,8414.452
1974/11,,,,,,,8372.767
1974/12,,,,,,,8335.065
1975/01,,,,,,,8261.677
1975/02,,,,,,,8399.286
1975/03,,,,,,,8303.806
1975/04,,,,,,,8268.2
1975/05,,,,,,,8186.903
1975/06,,,,,,,8230.833
1975/07,,,,,,,8145.71
1975/08,,,,,,,8058.484
1975/09,,,,,,,8084.867
1975/10,,,,,,,8132.452
1975/11,,,,,,,8086.067
1975/12,,,,,,,8061.484
1976/01,,,,,,,8038.323
1976/02,,,,,,,8039.724
1976/03,,,,,,,8042.452
1976/04,,,,,,,7917.7
1976/05,,,,,,,7975.903
1976/06,,,,,,,7944.467
1976/07,,,,,,,7956.226
1976/08,,,,,,,7937.226
1976/09,,,,,,,7977.233
1976/10,,,,,,,7884.677
1976/11,,,,,,,7904.267
1976/12,,,,,,,7885.194
1977/01,,,,,,,7682.097
1977/02,,,,,,,7971.571
1977/03,,,,,,,7925.323
1977/04,,,,,,,7982.233
1977/05,,,,,,,7909.161
1977/06,,,,,,,7817.167
1977/07,,,,,,,7733.323
1977/08,,,,,,,7668.968
1977/09,,,,,,,7618.433
1977/10,,,,,,,7734.097
1977/11,,,,,,,7719.8
1977/12,,,,,,,7628.677
1978/01,0.631,,,,,,7490.71
1978/02,0.629,,,,,,7522.143
1978/03,0.629,,,,,,7569.065
1978/04,0.631,,,,,,7528.133
1978/05,0.637,,,,,,7543.968
1978/06,0.645,,,,,,7526.533
1978/07,0.655,,,,,,7461.226
1978/08,0.663,,,,,,7441.806
1978/09,0.669,,,,,,7478.1
1978/10,0.671,,,,,,7478.097
1978/11,0.676,,,,,,7390.267
1978/12,0.685,,,,,,7314.645
1979/01,0.695,,,,,,7124.194
1979/02,0.707,,,,,,7259.0
1979/03,0.733,,,,,,7246.355
1979/04,0.78,,,,,,7207.067
1979/05,0.823,,,,,,7251.645
1979/06,0.88,,,,,,7185.467
1979/07,0.93,,,,,,6959.226
1979/08,0.967,,,,,,7114.484
1979/09,0.998,,,,,,7087.6
1979/10,1.006,,,,,,7141.129
1979/11,1.019,,,,,,7147.433
1979/12,1.042,,,,,,7095.097
1980/01,1.11,,,,,,7041.226
1980/02,1.186,,,,,,7074.483
1980/03,1.23,,,,,,7051.097
1980/04,1.242,,,,,,7035.4
1980/05,1.244,,,,,,7007.581
1980/06,1.246,,,,,,6928.133
1980/07,1.247,,,,,,6934.968
1980/08,1.243,,,,,,6802.258
1980/09,1.231,,,,,,7009.233
1980/10,1.223,,,,,,6944.0
1980/11,1.222,,,,,,6934.567
1980/12,1.231,,,,,,7004.0
1981/01,1.269,,,,,5529.0,6933.774
1981/02,1.353,,,,,606.0,6984.571
1981/03,1.388,,,,,6706.0,6995.258
1981/04,1.381,,,,,3209.0,6949.1
1981/05,1.37,,,,,11421.0,6921.419
1981/06,1.362,,,,,3914.0,6996.4
1981/07,1.353,,,,,6654.0,6894.742
1981/08,1.348,,,,,2454.0,6980.452
1981/09,1.358,,,,,-6454.0,6996.933
1981/10,1.353,,,,,7580.0,6966.419
1981/11,1.351,,,,,10289.0,6971.733
1981/12,1.348,,,,,3365.0,6962.581
1982/01,1.341,,,,,4760.0,6804.742
1982/02,1.318,,,,,5994.0,6995.643
1982/03,1.268,,,,,1847.0,6970.839
1982/04,1.21,,,,,8893.0,6899.833
1982/05,1.224,,,,,5142.0,6976.29
1982/06,1.296,,,,,6004.0,6981.067
1982/07,1.318,,,,,1514.0,6947.839
1982/08,1.31,,,,,8006.0,6936.387
1982/09,1.292,,,,,-4276.0,6996.033
1982/10,1.28,,,,,10089.0,6995.677
1982/11,1.268,,,,,-1801.0,7021.533
1982/12,1.244,,,,,2977.0,6915.742
1983/01,1.214,,,,,7316.0,6964.903
1983/02,1.17,,,,,9133.0,7041.536
1983/03,1.135,,,,,2590.0,6967.903
1983/04,1.198,,,,,4590.0,7054.9
1983/05,1.243,,,,,7565.0,6969.161
